objectid,filename,title,format,description,creator,date,item_information,subject,location,latitude,longitude,publisher-digital,source,findingaid,type,language
1924_South_Dakota,1913_South_Dakota.jpg,"1913, South Dakota Coyotes",image/jpeg,,University of Notre Dame Athletics,1913-10-18,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Michigan Stadium,Michigan Stadium,41.69742,-86.2339,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",,Image;StillImage,eng
1924_Princeton,1924_Princeton.png,"1924, Princeton Tigers",image/png,,University of Notre Dame Athletics,1924-10-25,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Notre Dame Stadium,Notre Dame Stadium,41.69741,-86.234,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1924_Wabash,1924_Wabash.png,"1924, Wabash Little Giants",image/png,,University of Notre Dame Athletics,1924-10-11,single-page; photographs,University of Notre Dame; Fighting Irish; College Football; Notre Dame Stadium,Notre Dame Stadium,41.69745,-86.2334,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1926_Drake,1926_Drake.png,"1926, Drake Bulldogs",image/png,,University of Notre Dame Athletics,1926-11-20,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Thompson Stadium,Thompson Stadium,41.69743,-86.2335,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1927_Georgia_Tech,1927_Georgia_Tech.png,"1927, Georgia Tech Yellow Jackets",image/png,,University of Notre Dame Athletics,1927-10-29,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Notre Dame Stadium,Notre Dame Stadium,41.69742,-86.2341,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1927_Navy,1927_Navy.png,"1927, Navy Midshipmen",image/png,,University of Notre Dame Athletics,1927-10-15,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Yankee Stadium,Yankee Stadium,41.69742,-86.234,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1927_USC,1927_USC.png,"1927, USC Trojans",image/png,,University of Notre Dame Athletics,1927-11-26,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Notre Dame Stadium,Notre Dame Stadium,41.69742,-86.2341,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1928_Navy,1928_Navy.png,"1928, Navy Midshipmen",image/png,,University of Notre Dame Athletics,1928-10-13,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Notre Dame Stadium,Notre Dame Stadium,41.69745,-86.2344,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1928_Wisconsin,1928_Wisconsin.png,"1928, Wisconsin Badgers",image/png,,University of Notre Dame Athletics,1928-10-06,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Soldier Field,Soldier Field,41.69741,-86.2341,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1929_Indiana,1929_Indiana.png,"1929, Indiana Hoosiers",image/png,,University of Notre Dame Athletics,1929-10-05,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Soldier Field,Soldier Field,41.69744,-86.2343,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1926_Navy,1926_Navy.png,"1929, Navy Midshipmen",image/png,,University of Notre Dame Athletics,1929-10-12,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Michie Stadium,Michie Stadium,41.69763,-86.2347,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
1929_USC,1929_USC.png,"1929, USC Trojans",image/png,,University of Notre Dame Athletics,1929-11-16,single-page; photographs,University of Notre Dame; Fighting Irish; College Football;  Notre Dame Stadium,Notre Dame Stadium,41.6975,-86.2345,"University of Notre Dame, University Archives","University of Notre Dame, University Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Image;StillImage,eng
